Epoch: 0 || Index :6400 || loss: 0.949857771396637 || acc: 0.6348494291305542
Epoch: 0 || Index :6500 || loss: 0.6772641539573669 || acc: 0.7798594832420349
Epoch: 0 || Index :6600 || loss: 0.9801238775253296 || acc: 0.4367767870426178
Epoch: 0 || Index :6700 || loss: 0.6441363096237183 || acc: 0.8036420941352844
Epoch: 0 || Index :6800 || loss: 0.8512686491012573 || acc: 0.45335450768470764
Epoch: 0 || Index :6900 || loss: 1.1193405389785767 || acc: 0.4574642479419708
Epoch: 0 || Train acc: 0.5848084587728725
Epoch: 1 || Index :0 || loss: 1.7254081964492798 || acc: 0.2532750964164734
Epoch: 1 || Index :100 || loss: 0.7120785713195801 || acc: 0.7534143924713135
Epoch: 1 || Index :200 || loss: 1.2116849422454834 || acc: 0.3824068307876587
